Date_Time,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6
53:35.4,-83,-83,-84,-90,-65,-88
53:35.5,-83,-83,-84,-95,-65,-88
53:35.6,-83,-83,-80,-95,-47,-78
53:35.7,-83,-83,-81,-93,-47,-78
53:35.8,-83,-78,-81,-93,-47,-78
53:35.9,-79,-78,-81,-86,-64,-78
53:36.0,-79,-78,-81,-86,-64,-78
53:36.2,-79,-78,-81,-86,-64,-78
53:36.3,-79,-78,-81,-86,-64,-78
53:36.4,-79,-78,-81,-86,-64,-78
53:36.5,-79,-78,-81,-86,-64,-78
53:36.6,-79,-78,-81,-86,-64,-78
53:36.7,-79,-78,-81,-86,-64,-78
53:36.8,-79,-78,-81,-86,-64,-78
53:36.9,-79,-77,-81,-86,-64,-78
53:37.0,-77,-77,-81,-86,-64,-76
53:37.1,-77,-77,-81,-86,-64,-76
53:37.3,-77,-77,-81,-86,-64,-76
53:37.4,-77,-77,-81,-86,-64,-76
53:37.5,-77,-81,-88,-86,-83,-73
53:37.6,-77,-81,-88,-86,-83,-74
53:37.7,-77,-81,-88,-86,-83,-74
53:37.8,-77,-81,-88,-86,-83,-74
53:37.9,-77,-81,-88,-86,-83,-74
53:38.0,-77,-81,-88,-86,-83,-74
53:38.1,-85,-81,-88,-86,-83,-74
53:38.2,-85,-81,-88,-86,-78,-71
53:38.3,-85,-81,-88,-87,-77,-72
53:38.4,-85,-81,-88,-87,-77,-72
53:38.6,-85,-81,-88,-87,-79,-72
53:38.7,-85,-81,-88,-87,-79,-72
53:38.8,-85,-81,-88,-87,-79,-72
53:38.9,-85,-81,-88,-87,-79,-79
53:39.0,-85,-90,-88,-87,-79,-78
53:39.1,-85,-90,-88,-87,-79,-78
53:39.2,-85,-90,-88,-87,-79,-78
53:39.3,-85,-82,-88,-87,-79,-78
53:39.4,-85,-82,-88,-87,-79,-78
53:39.5,-85,-82,-88,-87,-79,-78
53:39.6,-85,-82,-88,-87,-79,-78
53:39.8,-85,-82,-86,-95,-79,-75
53:39.9,-85,-82,-86,-95,-79,-75
53:40.0,-85,-82,-86,-95,-94,-75
53:40.1,-85,-80,-86,-89,-93,-75
53:40.2,-85,-80,-86,-89,-93,-75
53:40.3,-85,-80,-86,-89,-93,-75
53:40.4,-85,-80,-86,-89,-93,-65
53:40.5,-85,-80,-86,-89,-93,-65
53:40.6,-85,-80,-86,-89,-93,-65
53:40.7,-85,-80,-86,-89,-93,-65
53:40.8,-83,-80,-86,-89,-93,-65
53:41.0,-83,-80,-86,-89,-95,-65
53:41.1,-83,-80,-86,-89,-95,-65
53:41.2,-83,-81,-86,-89,-95,-65
53:41.3,-83,-81,-86,-89,-95,-63
53:41.4,-83,-80,-86,-89,-95,-63
53:41.5,-83,-80,-86,-89,-95,-63
53:41.6,-83,-80,-86,-89,-95,-63
